,comment,quality,difficulty
 PL,"Really good professor, nice guy. If you have some questions and email him, you'll get a quick and helpful reply.",5.0,2.0
 CSCIGA,Good professor. Course is structured. Good assignments and fair grading.,4.5,3.0
 CAL3,Very caring professor. Lots of webassign and hw to boost grades. Gave everyone a 5 points bonus on mid-term just because he made mistakes on making the questions. ,5.0,1.0
 PHTS1,"Max is an amazing teacher. He really helps me to get out of my comfort zone in my writing. The class is mainly discussion so you really have to be there to learn. You will get a good, even great grade if you put the effort into your writing and pay attention in class.",5.0,3.0
 IMUH1013,Professor Heather was a gem! She was so knowledgeable in her field and the class content was so intriguing that I would read them just for leisure too. She explained art well enough for someone who has been exposed to interactive media art the first time. Open to interpretation. Chill. Respectful. Easy A.,5.0,1.0
 PSYCHUA1002,I had Usman for summer session one. He is super kind & compassionate. Always thinking about how to really help his students and make their lives better. He did his best every class to make the lectures engaging and was honestly a great guy. I learned a lot and I'm happy I had him as a professor because he truly does care. The class wasn't too hard!,5.0,3.0
 ECT2124,"Dr. Plass's classes are hard. He knows his material so well, and knows how to put it into practice. I learned so much in his classes I really can't say enough good about him. Classes were highly theoretical, but also showed how apply the knowledge. Great teacher.",4.0,5.0
 OLIT525,"He is a research nut and has a wide, varied background for elearning, multimedia areas...which is such an asset to the courses. He expects a lot and doesn't do ""hand holding"" & really pushes you to become better and independant in the areas of study. If you really want to grow in this field and really make a difference in eLearning take his class.",5.0,4.0
 DRLITUA-210,"An excellent lecturer. Knows so much about his field, and wants you to know it too. Will throw so much information at you. Has high expectations for papers, of which he assigns few and on which he gives little guidance, so start working early!",4.0,5.0
 COREUA740,"I am unsure why so many said Professor Meineck did not care about the pandemic! During lecture, he always encouraged us to take care of ourselves (recognizing the pandemic). When you participate, he takes your words and gives great insight. His lectures were hilarious. Try to get Dr. Kim Adams as your TA! She is very helpful and constructive.",4.0,4.0
 CLASS404,"Professor Meineck is HILARIOUS. I hated missing any of his lectures because I loved his stories so much, he's had such an interesting life and it was the best lecture I had that semester because I got to hear from him. He makes the subject so interesting, and the accent is a plus. Such a great class, just pay attention and you're fine with tests.",4.5,1.0
 CLASMYTHO,"I highly recommend going to lectures.  They're not very informative, but the main reason I liked this class is because of the awesome stories he tells in class.  Tests were really difficult, lots of reading (but it's only plays and short stories), and one 10-15 pg research paper.",4.0,2.0
 MAP740,Simply put: I loved coming to lecture everyday and I was interested in the material and the readings he gave us.,4.5,3.0
 CLASSMYTH,"Awesome Professor! Very knowledgeable about material, and made everything interesting and funny. His personal stories were pretty funny too. I highly recommend this class.",4.0,3.0
 HISTUA161,"Great professor for Early Modern Britain, the study guides he provides are very helpful. Very knowledgeable about the subject. This class was particularly lecture heavy, so be sure to pay attention.",4.0,2.0
 COREUA549,"Ortolano is the best. At first I wasn't sure what to make of him-- nice but a bit intense. But he really knows the material and has a passion for it, which makes the class bearable, especially considering I took him for summer semester. Just study your notes. read the required texts, show that you read the texts, and you'll be more than prepared.",5.0,3.0
 HISTUA70,"Just for the 2-credit History in the Headlines class, so Naftali only lectured once (he was great though). If you're thinking of taking HIH and you can write a half-decent essay, do it. Hugely, hugely interesting. Read the readings assigned before lecture. At least skim them. Put in this tiny amount of effort and you'll get a lot out of this class.",4.0,2.0
 HISTUA828,"Professor Ortolano essentially invented the term ""urban modernism"" so his teaching of the class is incredibly unique. The readings are doable but extremely interesting. I took this as a Jan Term class so the condensed schedule was intense, but well worth it. I enjoyed the class and I think anyone would regardless of major.",5.0,4.0
 HISTUA101,"History 101 was amazing! Guy is a great lecturer: he makes even the most mundane topics fascinating. Take as many classes with him as you can, definitely one of the best professors NYU has to offer",5.0,2.0
 BRITHIST,I took his advanced seminar for British History. Favourite class of the semester. There isn't any reading but one LONG paper. He says 20 pages but most people go over 30. Fantastic guy and provided help every step of the way. He wants you to do what you want to do and how you want to do it. Make your own [good] style and you'll get an A.,5.0,2.0
